Name,Price
Acer Swift Go Ultra 5,"Rs. 106,000"
"MSI Modern 14 C12MO Laptop (12th Gen Intel Core i5 | 16GB RAM | 512GB SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | 1.4KG)","Rs. 80,900"
"Lenovo V14 G4 AMD Ryzen 5 Quad Core 7520U, 14"" IPS FHD, 8 GB DDR4 RAM, 512 GB Gen 4 NVMe SSD, 47 WHr Battery, LAN Port, Free DOS, 1 Year Warranty / NAGMANI INTERNATIONAL","Rs. 70,450"
"Acer Swift GO 14 Core i5-13500H 13th Gen / 16 GB RAM/ 512GB SSD/14"" OLED 2.8K/Backlit Keyboard/ Win 11","Rs. 109,990"
"Lenovo IdeaPad 3i 15.6'' Touch Laptop Intel i5 12th gen , 8GB RAM, 256GB Nvme SSD (82RK00BEUS)","Rs. 66,500"
"Acer Aspire 5 A515-58P (Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display)","Rs. 75,000"
"HP Envy x360,Core 5-120U 14th Gen | 8GB RAM | 512GB SSD | 14″FHD | 360 Touch | Backlit-Keyboard | Win 11","Rs. 97,499"
"ASUS Vivobook Go E1404FA - Ryzen 3 7320U| 14"" FHD Display| 8GB RAM| 512GB SSD | Numpad |Chicklet | Win 11 | Cool silver | 2 Years Warranty - NAGMANI INTERNATIONAL","Rs. 68,500"
"Acer Nitro V 15 2023 i7 13620H | RTX 4060 8GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 2 Year Warranty","Rs. 147,999"
Dell Inspiron G15 5515 AMD Ryzen 7 5800H 8GB 512SSD NVIDIA RTX 3050 4GB GDDR6 FHD Win 11,"Rs. 169,900"
HP Pavilion Plus,"Rs. 98,500"
"Lenovo V15 G3 - 12th Gen, Intel i7 1255U, 15.6"" FHD, 16GB DDR4 RAM, 512GB NVMe SSD, Iron Grey Color, 1 Year Warranty","Rs. 102,275"
Lenovo Yoga,"Rs. 98,200"
